# time(ps) Nwater Force (pN) Pressure Dif (atm) 
1 143 9937.499 21412.74203530436
2 168 11674.823999999999 25156.22840511281
3 161 11188.373 24108.052221566446
4 172 11952.795999999998 25755.186224282163
5 180 12508.74 26953.10186262087
6 176 12230.768 26354.14404345152
7 180 12508.74 26953.10186262087
8 177 12300.260999999999 26503.883498243853
9 180 12508.74 26953.10186262087
10 178 12369.753999999999 26653.622953036196
11 186 12925.697999999999 27851.538591374898
12 181 12578.232999999998 27102.841317413207
13 182 12647.725999999999 27252.580772205547
14 182 12647.725999999999 27252.580772205547
15 180 12508.74 26953.10186262087
16 181 12578.232999999998 27102.841317413207
17 191 13273.162999999999 28600.235865336588
18 179 12439.247 26803.362407828532
19 182 12647.725999999999 27252.580772205547
20 184 12786.712 27552.059681790226
21 187 12995.190999999999 28001.278046167237
22 189 13134.177 28300.756955751913
23 182 12647.725999999999 27252.580772205547
24 184 12786.712 27552.059681790226
25 189 13134.177 28300.756955751913
26 188 13064.684 28151.017500959577
27 181 12578.232999999998 27102.841317413207
28 189 13134.177 28300.756955751913
29 185 12856.205 27701.799136582562
30 190 13203.669999999998 28450.496410544252
31 190 13203.669999999998 28450.496410544252
32 189 13134.177 28300.756955751913
33 186 12925.697999999999 27851.538591374898
34 181 12578.232999999998 27102.841317413207
35 187 12995.190999999999 28001.278046167237
36 187 12995.190999999999 28001.278046167237
37 185 12856.205 27701.799136582562
38 184 12786.712 27552.059681790226
39 184 12786.712 27552.059681790226
40 188 13064.684 28151.017500959577
41 185 12856.205 27701.799136582562
42 185 12856.205 27701.799136582562
43 187 12995.190999999999 28001.278046167237
44 185 12856.205 27701.799136582562
45 189 13134.177 28300.756955751913
46 189 13134.177 28300.756955751913
47 188 13064.684 28151.017500959577
48 192 13342.655999999999 28749.975320128928
49 183 12717.219 27402.320226997883
50 189 13134.177 28300.756955751913
51 191 13273.162999999999 28600.235865336588
52 190 13203.669999999998 28450.496410544252
53 192 13342.655999999999 28749.975320128928
54 187 12995.190999999999 28001.278046167237
55 184 12786.712 27552.059681790226
56 186 12925.697999999999 27851.538591374898
57 186 12925.697999999999 27851.538591374898
58 188 13064.684 28151.017500959577
59 187 12995.190999999999 28001.278046167237
60 186 12925.697999999999 27851.538591374898
61 190 13203.669999999998 28450.496410544252
62 189 13134.177 28300.756955751913
63 183 12717.219 27402.320226997883
64 184 12786.712 27552.059681790226
65 186 12925.697999999999 27851.538591374898
66 187 12995.190999999999 28001.278046167237
67 187 12995.190999999999 28001.278046167237
68 189 13134.177 28300.756955751913
69 185 12856.205 27701.799136582562
70 194 13481.642 29049.454229713607
71 186 12925.697999999999 27851.538591374898
72 185 12856.205 27701.799136582562
73 187 12995.190999999999 28001.278046167237
74 188 13064.684 28151.017500959577
75 183 12717.219 27402.320226997883
76 179 12439.247 26803.362407828532
77 181 12578.232999999998 27102.841317413207
78 186 12925.697999999999 27851.538591374898
79 187 12995.190999999999 28001.278046167237
80 195 13551.134999999998 29199.19368450594
81 185 12856.205 27701.799136582562
82 186 12925.697999999999 27851.538591374898
83 184 12786.712 27552.059681790226
84 191 13273.162999999999 28600.235865336588
85 185 12856.205 27701.799136582562
86 181 12578.232999999998 27102.841317413207
87 189 13134.177 28300.756955751913
88 189 13134.177 28300.756955751913
89 184 12786.712 27552.059681790226
90 188 13064.684 28151.017500959577
91 189 13134.177 28300.756955751913
92 187 12995.190999999999 28001.278046167237
93 183 12717.219 27402.320226997883
94 185 12856.205 27701.799136582562
95 188 13064.684 28151.017500959577
96 188 13064.684 28151.017500959577
97 187 12995.190999999999 28001.278046167237
98 191 13273.162999999999 28600.235865336588
99 188 13064.684 28151.017500959577
100 182 12647.725999999999 27252.580772205547
101 185 12856.205 27701.799136582562
102 183 12717.219 27402.320226997883
103 184 12786.712 27552.059681790226
104 182 12647.725999999999 27252.580772205547
105 192 13342.655999999999 28749.975320128928
106 189 13134.177 28300.756955751913
107 192 13342.655999999999 28749.975320128928
108 188 13064.684 28151.017500959577
109 182 12647.725999999999 27252.580772205547
110 187 12995.190999999999 28001.278046167237
111 184 12786.712 27552.059681790226
112 186 12925.697999999999 27851.538591374898
113 182 12647.725999999999 27252.580772205547
114 179 12439.247 26803.362407828532
115 177 12300.260999999999 26503.883498243853
116 183 12717.219 27402.320226997883
117 186 12925.697999999999 27851.538591374898
118 188 13064.684 28151.017500959577
119 187 12995.190999999999 28001.278046167237
120 184 12786.712 27552.059681790226
121 186 12925.697999999999 27851.538591374898
122 191 13273.162999999999 28600.235865336588
123 184 12786.712 27552.059681790226
124 187 12995.190999999999 28001.278046167237
125 187 12995.190999999999 28001.278046167237
126 183 12717.219 27402.320226997883
127 183 12717.219 27402.320226997883
128 186 12925.697999999999 27851.538591374898
129 188 13064.684 28151.017500959577
130 183 12717.219 27402.320226997883
131 183 12717.219 27402.320226997883
132 191 13273.162999999999 28600.235865336588
133 189 13134.177 28300.756955751913
134 192 13342.655999999999 28749.975320128928
135 190 13203.669999999998 28450.496410544252
136 185 12856.205 27701.799136582562
137 185 12856.205 27701.799136582562
138 187 12995.190999999999 28001.278046167237
139 184 12786.712 27552.059681790226
140 189 13134.177 28300.756955751913
141 193 13412.149 28899.714774921267
142 188 13064.684 28151.017500959577
143 185 12856.205 27701.799136582562
144 185 12856.205 27701.799136582562
145 183 12717.219 27402.320226997883
146 194 13481.642 29049.454229713607
147 194 13481.642 29049.454229713607
148 186 12925.697999999999 27851.538591374898
149 184 12786.712 27552.059681790226
150 185 12856.205 27701.799136582562
151 190 13203.669999999998 28450.496410544252
