20 -3.0
30 -2.5
40 -0.5
50 -1.5
60 3.5
70 3.0
80 7.0
90 4.5
100 4.0
110 1.5
120 -0.5
130 -1.5
140 2.0
150 1.0
160 1.0
170 -0.5
180 -3.0
190 -3.5
200 -4.0
210 -5.0
220 -6.5
230 -9.0
240 -8.5
250 -8.0
260 -7.0
270 -6.5
280 -6.0
290 -6.5
300 -8.5
310 -7.0
320 -5.0
330 -9.5
340 -7.5
350 -8.0
360 -7.5
370 -7.0
380 -4.5
390 -6.0
400 -8.5
410 -5.5
420 -5.0
430 -8.0
440 -8.0
450 -6.5
460 -2.5
470 -5.0
480 -6.0
490 -8.5
500 -9.0
510 -8.0
520 -6.5
530 -7.0
540 -5.5
550 -8.5
560 -7.0
570 -6.0
580 -5.5
590 -5.0
600 -2.5
610 -4.5
620 -5.0
630 -5.0
640 -4.5
650 -6.0
660 -7.5
670 -6.0
680 -3.5
690 -6.5
700 -7.5
710 -6.0
720 -6.0
730 -4.5
740 -2.0
750 2.5
760 0.5
770 2.5
780 2.5
790 2.5
800 4.0
810 3.0
820 2.5
830 0.0
840 -1.5
850 -2.0
860 -2.5
870 -2.0
880 3.0
890 2.5
900 3.0
910 4.5
920 6.0
930 8.5
940 7.5
950 5.5
960 5.0
970 7.0
980 2.5
990 4.5
1000 6.0
